Author: Victoria Heredia
Title: Program 4 - Movie Ratings
Course: CMPS 4143
Description:This program reads movie titles and ratings from a file,
stores the ratings in a dictionary of lists, and calculates each movie’s
average rating. It then writes a formatted report to 'report.txt',
including all movies and the top-rated one.

Movie Ratings Report
---------------------------------------------------------------------
Inception | Ratings: [9, 8, 7, 10] | Average: 8.50
A Beautiful Mind | Ratings: [9, 8] | Average: 8.50
The Aviator | Ratings: [8, 9] | Average: 8.50
Gangs of New York | Ratings: [8, 9] | Average: 8.50
Minority Report | Ratings: [8, 9] | Average: 8.50
Memento | Ratings: [9, 8] | Average: 8.50
The Wolf of Wall Street | Ratings: [8, 9] | Average: 8.50
Django Unchained | Ratings: [9, 8] | Average: 8.50
Shutter Island | Ratings: [8, 9] | Average: 8.50
Prisoners | Ratings: [9, 8] | Average: 8.50
Rush | Ratings: [8, 9] | Average: 8.50
Gravity | Ratings: [8, 9] | Average: 8.50
12 Years a Slave | Ratings: [9, 8] | Average: 8.50
Argo | Ratings: [8, 9] | Average: 8.50
Boyhood | Ratings: [8, 9] | Average: 8.50
The Revenant | Ratings: [8, 9] | Average: 8.50
Spotlight | Ratings: [9, 8] | Average: 8.50
Manchester by the Sea | Ratings: [8, 9] | Average: 8.50
Hacksaw Ridge | Ratings: [9, 8] | Average: 8.50
Hidden Figures | Ratings: [8, 9] | Average: 8.50
Dunkirk | Ratings: [9, 8] | Average: 8.50
Call Me by Your Name | Ratings: [8, 9] | Average: 8.50
Get Out | Ratings: [9, 8] | Average: 8.50
Three Billboards Outside Ebbing, Missouri | Ratings: [9, 8] | Average: 8.50
A Star Is Born | Ratings: [8, 9] | Average: 8.50
Roma | Ratings: [9, 8] | Average: 8.50
Black Panther | Ratings: [8, 9] | Average: 8.50
Bohemian Rhapsody | Ratings: [9, 8] | Average: 8.50
Jojo Rabbit | Ratings: [8, 9] | Average: 8.50
1917 | Ratings: [9, 8] | Average: 8.50
Once Upon a Time in Hollywood | Ratings: [8, 9] | Average: 8.50
Nomadland | Ratings: [9, 8] | Average: 8.50
The Father | Ratings: [8, 9] | Average: 8.50
Promising Young Woman | Ratings: [8, 9] | Average: 8.50
Sound of Metal | Ratings: [9, 8] | Average: 8.50
CODA | Ratings: [8, 9] | Average: 8.50
Dune | Ratings: [9, 8] | Average: 8.50
The Power of the Dog | Ratings: [8, 9] | Average: 8.50
West Side Story | Ratings: [8, 9] | Average: 8.50
Everything Everywhere All at Once | Ratings: [9, 8] | Average: 8.50
The Banshees of Inisherin | Ratings: [8, 9] | Average: 8.50
Tár | Ratings: [8, 9] | Average: 8.50
All Quiet on the Western Front | Ratings: [9, 8] | Average: 8.50
Oppenheimer | Ratings: [10, 9] | Average: 9.50
Barbie | Ratings: [8, 9] | Average: 8.50
Poor Things | Ratings: [9, 8] | Average: 8.50
Killers of the Flower Moon | Ratings: [9, 8] | Average: 8.50

Top Rated Movie: Oppenheimer (9.50)
